registro_id,fecha,edificio,temperatura_c,ocupacion,kwh,superficie_m2,tarifa
ENE010-000001,2024-01-01,B1,18.5,57,133.38,600,0.62
ENE010-000002,2024-01-01,B2,21.6,53,187.96,1200,0.62
ENE010-000003,2024-01-01,B3,18.8,81,268.44,1800,0.62
ENE010-000004,2024-01-02,B1,19.0,49,121.11,600,0.62
ENE010-000005,2024-01-02,B2,18.4,74,209.86,1200,0.62
ENE010-000006,2024-01-02,B3,20.4,102,300.99,1800,0.62
ENE010-000007,2024-01-03,B1,21.8,51,125.17,600,0.62
ENE010-000008,2024-01-03,B2,17.5,73,209.97,1200,0.62
ENE010-000009,2024-01-03,B3,20.6,102,309.61,1800,0.62
ENE010-000010,2024-01-04,B1,21.5,40,101.85,600,0.62
ENE010-000011,2024-01-04,B2,19.7,51,171.97,1200,0.62
ENE010-000012,2024-01-04,B3,18.6,118,329.03,1800,0.62
ENE010-000013,2024-01-05,B1,18.5,46,118.37,600,0.62
ENE010-000014,2024-01-05,B2,19.0,72,213.59,1200,0.62
ENE010-000015,2024-01-05,B3,18.1,100,294.5,1800,0.62
ENE010-000016,2024-01-06,B1,21.2,7,55.0,600,0.62
ENE010-000017,2024-01-06,B2,21.1,14,126.6,1200,0.62
ENE010-000018,2024-01-06,B3,21.6,16,195.27,1800,0.62
ENE010-000019,2024-01-07,B1,20.6,8,60.06,600,0.62
ENE010-000020,2024-01-07,B2,21.6,13,130.28,1200,0.62
ENE010-000021,2024-01-07,B3,18.6,21,171.65,1800,0.62
ENE010-000022,2024-01-08,B1,20.5,54,122.19,600,0.62
ENE010-000023,2024-01-08,B2,19.9,63,200.27,1200,0.62
ENE010-000024,2024-01-08,B3,21.6,126,356.91,1800,0.62
ENE010-000025,2024-01-09,B1,21.6,31,98.42,600,0.62
ENE010-000026,2024-01-09,B2,19.8,90,230.93,1200,0.62
ENE010-000027,2024-01-09,B3,19.6,110,313.41,1800,0.62
ENE010-000028,2024-01-10,B1,19.6,48,125.71,600,0.62
ENE010-000029,2024-01-10,B2,21.2,70,210.49,1200,0.62
ENE010-000030,2024-01-10,B3,20.2,88,276.3,1800,0.62
