registro_id,fecha,cliente,plan,zona,antiguedad_meses,consumo_gb,incidencias,baja_30d,motivo_baja
TEL014-000001,2024-01-01,C0001,esencial,norte,7,21.33,1,0,
TEL014-000002,2024-01-01,C0002,plus,norte,8,41.1,1,1,mudanza
TEL014-000003,2024-01-01,C0003,total,sur,31,46.95,0,0,
TEL014-000004,2024-01-01,C0004,esencial,norte,80,1.5,0,0,
TEL014-000005,2024-01-01,C0005,plus,sur,17,36.59,0,0,
TEL014-000006,2024-01-01,C0006,total,norte,2,46.38,0,0,
TEL014-000007,2024-01-01,C0007,esencial,centro,75,0.13,0,0,
TEL014-000008,2024-01-01,C0008,plus,norte,70,23.64,0,0,
TEL014-000009,2024-01-01,C0009,total,sur,43,43.08,0,0,
TEL014-000010,2024-01-01,C0010,esencial,sur,87,2.31,4,0,
TEL014-000011,2024-01-01,C0011,plus,norte,89,39.29,0,0,
TEL014-000012,2024-01-01,C0012,total,sur,12,47.85,0,0,
TEL014-000013,2024-01-01,C0013,esencial,norte,5,6.83,0,0,
TEL014-000014,2024-01-01,C0014,plus,centro,70,18.6,0,0,
TEL014-000015,2024-01-01,C0015,total,centro,90,39.53,0,0,
TEL014-000016,2024-01-01,C0016,esencial,sur,51,15.55,0,0,
TEL014-000017,2024-01-01,C0017,plus,sur,60,19.28,1,0,
TEL014-000018,2024-01-01,C0018,total,sur,14,48.74,0,0,
TEL014-000019,2024-01-01,C0019,esencial,norte,35,3.3,0,0,
TEL014-000020,2024-01-01,C0020,plus,sur,73,28.29,2,0,
TEL014-000021,2024-01-01,C0021,total,sur,13,53.68,0,0,
TEL014-000022,2024-01-01,C0022,esencial,centro,90,9.45,2,0,
TEL014-000023,2024-01-01,C0023,plus,centro,50,20.68,0,1,mudanza
TEL014-000024,2024-01-01,C0024,total,sur,89,36.98,1,0,
TEL014-000025,2024-01-01,C0025,esencial,centro,29,12.68,2,0,
TEL014-000026,2024-01-01,C0026,plus,sur,56,24.52,2,1,mudanza
TEL014-000027,2024-01-01,C0027,total,centro,13,41.31,0,0,
TEL014-000028,2024-01-01,C0028,esencial,norte,50,7.86,0,0,
TEL014-000029,2024-01-01,C0029,plus,centro,37,37.07,0,0,
TEL014-000030,2024-01-01,C0030,total,norte,42,49.02,0,0,
TEL014-000031,2024-01-01,C0031,esencial,centro,10,14.51,2,0,
TEL014-000032,2024-01-01,C0032,plus,norte,32,27.68,1,0,
TEL014-000033,2024-01-01,C0033,total,sur,89,42.43,0,0,
TEL014-000034,2024-01-01,C0034,esencial,norte,69,25.92,0,0,
TEL014-000035,2024-01-01,C0035,plus,sur,81,29.88,1,0,
TEL014-000036,2024-01-01,C0036,total,norte,51,51.22,2,0,
TEL014-000037,2024-01-01,C0037,esencial,norte,33,1.57,0,0,
TEL014-000038,2024-01-01,C0038,plus,centro,37,45.45,1,0,
TEL014-000039,2024-01-01,C0039,total,norte,81,49.63,1,0,
TEL014-000040,2024-01-01,C0040,esencial,norte,74,8.47,2,1,mudanza
TEL014-000041,2024-01-01,C0041,plus,norte,73,11.11,0,0,
TEL014-000042,2024-01-01,C0042,total,norte,22,39.87,1,0,
TEL014-000043,2024-01-01,C0043,esencial,centro,7,13.39,0,0,
TEL014-000044,2024-01-01,C0044,plus,centro,90,40.08,1,0,
TEL014-000045,2024-01-01,C0045,total,norte,52,44.18,2,0,
TEL014-000046,2024-01-01,C0046,esencial,norte,13,12.02,0,0,
TEL014-000047,2024-01-01,C0047,plus,centro,62,42.79,4,0,
TEL014-000048,2024-01-01,C0048,total,sur,62,51.34,2,0,
TEL014-000049,2024-01-01,C0049,esencial,centro,86,0,0,0,
TEL014-000050,2024-01-01,C0050,plus,norte,34,30.12,2,0,
TEL014-000051,2024-01-01,C0051,total,centro,69,42.59,0,0,
TEL014-000052,2024-01-01,C0052,esencial,norte,85,1.32,0,0,
TEL014-000053,2024-01-01,C0053,plus,centro,47,24.65,4,0,
TEL014-000054,2024-01-01,C0054,total,sur,48,59.59,1,0,
TEL014-000055,2024-01-01,C0055,esencial,norte,32,0,0,0,
TEL014-000056,2024-01-01,C0056,plus,centro,64,23.91,0,0,
TEL014-000057,2024-01-01,C0057,total,sur,34,45.33,0,0,
TEL014-000058,2024-01-01,C0058,esencial,centro,54,4.67,0,0,
TEL014-000059,2024-01-01,C0059,plus,centro,85,42.39,1,0,
TEL014-000060,2024-01-01,C0060,total,norte,57,48.1,0,0,
TEL014-000061,2024-01-01,C0061,esencial,centro,10,0,0,0,
TEL014-000062,2024-01-01,C0062,plus,centro,32,20.92,2,1,precio
TEL014-000063,2024-01-01,C0063,total,centro,3,43.73,0,0,
TEL014-000064,2024-01-01,C0064,esencial,centro,82,6.5,0,0,
TEL014-000065,2024-01-01,C0065,plus,centro,6,13.32,0,1,precio
TEL014-000066,2024-01-01,C0066,total,sur,42,40.64,0,0,
TEL014-000067,2024-01-01,C0067,esencial,sur,64,15.9,0,0,
TEL014-000068,2024-01-01,C0068,plus,norte,26,18.07,0,0,
TEL014-000069,2024-01-01,C0069,total,sur,48,42.03,3,0,
TEL014-000070,2024-01-01,C0070,esencial,centro,2,6.37,0,0,
TEL014-000071,2024-01-01,C0071,plus,centro,68,19.8,1,0,
TEL014-000072,2024-01-01,C0072,total,norte,27,,0,0,
TEL014-000073,2024-01-01,C0073,esencial,sur,21,18.67,0,0,
TEL014-000074,2024-01-01,C0074,plus,centro,42,26.6,0,0,
TEL014-000075,2024-01-01,C0075,total,sur,52,52.15,0,0,
TEL014-000076,2024-01-01,C0076,esencial,centro,45,21.1,3,1,servicio
TEL014-000077,2024-01-01,C0077,plus,sur,27,27.42,2,0,
TEL014-000078,2024-01-01,C0078,total,centro,69,43.4,1,1,precio
TEL014-000079,2024-01-01,C0079,esencial,sur,77,21.47,0,0,
TEL014-000080,2024-01-01,C0080,plus,sur,72,39.37,0,0,
TEL014-000081,2024-01-01,C0081,total,norte,19,60.13,0,0,
TEL014-000082,2024-01-01,C0082,esencial,centro,26,21.39,0,0,
TEL014-000083,2024-01-01,C0083,plus,centro,30,15.52,1,0,
TEL014-000084,2024-01-01,C0084,total,norte,18,46.28,0,0,
TEL014-000085,2024-01-01,C0085,esencial,centro,37,18.79,0,0,
TEL014-000086,2024-01-01,C0086,plus,norte,65,44.42,0,0,
TEL014-000087,2024-01-01,C0087,total,centro,46,48.53,3,0,
TEL014-000088,2024-01-01,C0088,esencial,norte,10,15.33,0,0,
TEL014-000089,2024-01-01,C0089,plus,sur,31,24.91,3,0,
TEL014-000090,2024-01-01,C0090,total,sur,32,55.9,0,0,
TEL014-000091,2024-01-01,C0091,esencial,norte,52,9.08,1,1,servicio
TEL014-000092,2024-01-01,C0092,plus,sur,28,23.2,0,0,
TEL014-000093,2024-01-01,C0093,total,centro,53,52.96,0,0,
TEL014-000094,2024-01-01,C0094,esencial,norte,34,16.79,1,0,
TEL014-000095,2024-01-01,C0095,plus,norte,75,13.48,0,0,
TEL014-000096,2024-01-01,C0096,total,sur,67,48.06,0,0,
TEL014-000097,2024-01-01,C0097,esencial,norte,20,6.06,0,0,
TEL014-000098,2024-01-01,C0098, PLUS ,centro,20,25.99,0,0,
TEL014-000099,2024-01-01,C0099,total,sur,75,56.15,0,0,
TEL014-000100,2024-01-01,C0100,esencial,norte,4,18.53,0,0,
TEL014-000101,2024-01-01,C0101,plus,sur,19,31.92,0,0,
TEL014-000102,2024-01-01,C0102,total,centro,68,46.17,1,0,
TEL014-000103,2024-01-01,C0103,esencial,sur,40,15.98,0,0,
TEL014-000104,2024-01-01,C0104,plus,centro,10,41.59,0,0,
TEL014-000105,2024-01-01,C0105,total,norte,15,56.76,1,0,
TEL014-000106,2024-01-01,C0106,esencial,centro,53,0.74,1,0,
TEL014-000107,2024-01-01,C0107,plus,centro,5,25.77,4,0,
TEL014-000108,2024-01-01,C0108,total,centro,1,37.68,0,0,
TEL014-000009,2024-01-01,C0009,total,sur,43,43.08,0,0,
